request_id,k6_endpoint,k6_status,k6_duration_ms,k6_waiting_ms,k6_receiving_ms,nginx_status,nginx_total_ms,nginx_upstream_ms,nginx_connect_ms,nginx_header_ms,gateway_status,gateway_total_ms,gateway_auth_ms,gateway_upstream_ms,gateway_other_ms,k6_minus_nginx_ms,nginx_minus_gateway_ms,k6_minus_gateway_ms
06a9a025-9fd8-4648-b4a2-940c3eb7c373,,,,,,200,142.0,140.0,0.0,140.0,,,,,,,,
b88cf3c5-3b8b-49ee-bb17-5b8b4be16b99,,,,,,200,119.0,120.0,0.0,120.0,,,,,,,,
15ee17f2-94f3-401f-80d0-7055459275d1,,,,,,200,127.0,128.0,0.0,128.0,,,,,,,,
b09f654a-cbd6-4fbf-aa82-0641bf1dd92d,,,,,,200,104.0,104.0,0.0,104.0,,,,,,,,
3c3c2160-5dbc-426e-be9e-65252e06708f,,,,,,200,95.0,96.0,0.0,96.0,,,,,,,,
d1191563-3956-47fc-9c75-30d2a8b448a2,,,,,,200,109.0,108.0,0.0,108.0,,,,,,,,
60322cc4-165b-4f90-8b5e-14dfea82c363,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
a36209d0-2aaf-4f0c-ae57-0cfcce49cda8,,,,,,200,168.0,168.0,4.0,168.0,,,,,,,,
942a5f42-16e5-448a-9ae8-e0ce7717f60e,,,,,,200,173.0,172.0,0.0,172.0,,,,,,,,
8f4cd3d5-480c-4a8a-bad4-f6c0a71df1b0,,,,,,200,177.0,176.0,4.0,176.0,,,,,,,,
b993a7bb-ad3b-42d0-92a5-b1037f45eee3,,,,,,200,120.0,120.0,4.0,120.0,,,,,,,,
297186eb-948b-40f3-8b0e-117dd7029011,,,,,,200,85.0,88.0,4.0,88.0,,,,,,,,
63299836-3522-47f9-977e-15bb84ddad83,,,,,,200,128.0,128.0,0.0,128.0,,,,,,,,
52c72a27-9acb-42ba-8d30-13bc8f2ca337,,,,,,200,112.0,112.0,0.0,112.0,,,,,,,,
b27aec3d-bf9e-478d-a6f5-38347a45fa73,,,,,,200,84.0,80.0,0.0,80.0,,,,,,,,
0aadd1d2-e9ae-4a5b-901f-bf6cedfc4956,,,,,,200,80.0,80.0,0.0,80.0,,,,,,,,
23e645d8-2023-4899-b7b3-ef217b3b738b,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
cf5823c9-c95b-4d06-b9dd-ee88841d3b0f,,,,,,200,75.0,76.0,0.0,76.0,,,,,,,,
3efa9365-433f-4f4c-b655-023acb0d6602,,,,,,200,73.0,72.0,0.0,72.0,,,,,,,,
af21f394-ab1e-451c-97f9-ea1b2ae4750f,,,,,,200,86.0,84.0,4.0,84.0,,,,,,,,
f0d2aa31-fd1a-495e-8ae6-9c516f9a8f1d,,,,,,200,87.0,84.0,0.0,84.0,,,,,,,,
95d97aad-ac13-457d-89e6-c6cba69ca3ca,,,,,,200,82.0,84.0,0.0,84.0,,,,,,,,
2b6c296c-0375-41fb-9be3-a88e5cc2b442,,,,,,200,158.0,156.0,0.0,156.0,,,,,,,,
51519881-530f-4c87-b711-c4322ef52916,,,,,,200,237.0,236.0,0.0,236.0,,,,,,,,
93a625e9-75fa-428a-8338-4aabaecdc968,,,,,,200,91.0,92.0,0.0,92.0,,,,,,,,
7019a067-88e5-4b70-be5f-e82f9c33af28,,,,,,200,75.0,76.0,0.0,76.0,,,,,,,,
f0e427a0-7063-418f-afd5-e9578e00ba74,,,,,,200,72.0,72.0,0.0,72.0,,,,,,,,
bf04aca8-2eb8-4d99-bc24-321047f09612,,,,,,200,78.0,80.0,0.0,80.0,,,,,,,,
5e3a869d-84d4-4474-9071-9e2a65d71088,,,,,,200,123.0,124.0,0.0,124.0,,,,,,,,
b0950018-3cf6-430d-9da6-a10e7de28ddb,,,,,,200,111.0,112.0,0.0,112.0,,,,,,,,
98a4c7d3-b961-4f05-80f9-1ae634d60908,,,,,,200,73.0,72.0,0.0,72.0,,,,,,,,
93bcc404-e56b-4d7d-b6e7-7573ee3d2fb1,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
8bbd9ef0-605c-4ed3-aafe-9dad11d7cddf,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
4e0b07f3-16e1-40ad-863e-c1a9c59bb825,,,,,,200,94.0,96.0,4.0,96.0,,,,,,,,
8fa20618-e2c8-418e-8b8e-7930a1eb907f,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
6a2fc6aa-0ce4-4359-b754-1839a4dbc68d,,,,,,200,78.0,80.0,0.0,80.0,,,,,,,,
3f4c54fe-371d-4016-92b9-cd3e25974fc8,,,,,,200,81.0,80.0,0.0,80.0,,,,,,,,
5c12285e-11bc-4994-b546-f54e91444a6e,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
79c828ae-941f-4600-9545-82071f9d03e9,,,,,,200,87.0,88.0,4.0,88.0,,,,,,,,
b30b528b-c64d-40d8-8c28-300e57a7a78e,,,,,,200,181.0,180.0,0.0,180.0,,,,,,,,
8c23742c-ed72-4cc5-96b7-698cc70b2d08,,,,,,200,178.0,180.0,0.0,180.0,,,,,,,,
890c3353-ee92-4728-8b8b-33119eb86e83,,,,,,200,94.0,92.0,0.0,92.0,,,,,,,,
b335e933-5f57-40ea-ae72-9f61100a442f,,,,,,200,131.0,132.0,0.0,132.0,,,,,,,,
051d30a3-d5bb-46c1-ad40-5aa59354871f,,,,,,200,174.0,172.0,0.0,172.0,,,,,,,,
8fd7faad-8762-418b-9b2e-904aa9b7bba8,,,,,,200,77.0,76.0,0.0,76.0,,,,,,,,
9a80f355-3064-4077-8a47-8454927df618,,,,,,200,75.0,76.0,0.0,76.0,,,,,,,,
7a539f6f-1365-448b-b252-5a763d063846,,,,,,200,72.0,72.0,0.0,72.0,,,,,,,,
643e9a0d-48ed-4e38-96e8-49e5b1772e34,,,,,,200,82.0,84.0,0.0,84.0,,,,,,,,
83d7ce64-cd4a-472c-b1eb-0138bd0df901,,,,,,200,74.0,72.0,0.0,72.0,,,,,,,,
4685c918-f470-4dcc-88c0-e4368a0bbf79,,,,,,200,80.0,80.0,0.0,80.0,,,,,,,,
1796680d-81a4-4065-baab-3e89e4e30422,,,,,,200,74.0,76.0,0.0,76.0,,,,,,,,
3b8a441b-6da3-41e4-bc1b-99e89ee55c03,,,,,,200,75.0,72.0,0.0,72.0,,,,,,,,
d2f87a5d-8443-4715-add5-db99ab7cebeb,,,,,,200,120.0,120.0,0.0,120.0,,,,,,,,
5f471e2c-8b6b-4ed2-8eaf-c5c207244978,,,,,,200,84.0,84.0,0.0,84.0,,,,,,,,
8f8786c9-8648-48f3-9a2d-c7c68958b68e,,,,,,200,90.0,92.0,0.0,92.0,,,,,,,,
fcb6dc71-ccd8-4a82-8de1-3db4926a5cad,,,,,,200,87.0,88.0,4.0,88.0,,,,,,,,
038c0ec2-a16a-47b1-8502-b9433090674c,,,,,,200,92.0,92.0,0.0,92.0,,,,,,,,
b186f99d-017e-4f16-955c-8e4bccf20dc8,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
